userId,contentId,contentConsumeOrder,subSectorId,subSectorName,themeTagId,subThemeTagsIds,regionTagsIds
user-000000,1149671,0,1,Info National,2,"[148, 162]",[]
user-000001,1149671,0,1,Info National,13,"[56, 102, 401, 463]",[]
user-000001,1149599,1,1,Info National,13,[102],[]
user-000002,1149817,0,1,Info National,2,[],[]
user-000002,1149631,1,24,Toronto,18,[363],"[26, 27, 28]"
user-000003,1149880,0,1,Info National,2,"[173, 462]",[]
user-000003,1149458,1,1,Info National,18,"[75, 215]",[8]
user-000003,1148499,2,1,Info National,2,"[71, 151]",[]
user-000003,1149614,3,1,Info National,5,[84],[8]
user-000004,1149784,0,24,Toronto,18,[204],"[26, 27, 28]"
user-000020,1149675,0,1,Info National,13,"[71, 102]",[]
user-000020,1148570,1,1,Info National,13,"[56, 102, 401, 463]",[]
user-000020,1007292,2,1,Info National,13,[102],[]
user-000021,1149600,0,1,Info National,2,"[173, 204]",[]
user-000021,1149697,1,1,Info National,13,"[102, 209]",[]
user-000022,1149892,0,1,Info National,2,"[71, 151]",[]
user-000022,1149941,1,1,Info National,5,[84],[8]
user-000022,1149759,2,24,Toronto,18,[204],"[26, 27, 28]"
user-000022,1149647,3,1,Info National,15,[65],[]
user-000022,1149479,4,31,Arts,11,[110],[]
user-000037,1148552,1,1,Info National,2,"[148, 162]",[]
user-000037,1149675,2,1,Info National,13,"[56, 102, 401, 463]",[]
user-000038,1149945,0,1,Info National,13,[102],[]
user-000038,1149892,1,1,Info National,5,[84],[8]
user-000038,1149663,2,1,Info National,2,[],[]
user-000038,1149917,3,3,Québec,18,[65],[9]
user-000038,1149955,4,1,Info National,2,"[173, 462]",[]
user-000039,1149614,0,54,Espaces autochtones,17,[96],[]
user-000039,1149927,1,1,Info National,2,"[71, 151]",[]
user-000039,1138882,2,1,Info National,5,[84],[8]
user-000056,1137181,2,21,Nouveau-Brunswick,13,[102],"[4, 19, 23, 24, 25]"
user-000056,1130391,3,1,Info National,5,[102],[]
user-000057,1149671,0,1,Info National,13,"[56, 102, 401, 463]",[]
user-000058,1149671,0,1,Info National,13,[102],[]
user-000058,1149635,1,1,Info National,5,[84],[8]
user-000058,1149892,2,1,Info National,2,[],[]
user-000058,1149955,3,1,Info National,2,"[173, 462]",[]
user-000059,1149671,0,1,Info National,5,[84],[8]
user-000060,1149599,0,1,Info National,18,[347],[16]
user-000060,1149677,1,2,Grand Montréal,17,[178],[8]
user-000077,1149626,5,1,Info National,13,[102],[]
user-000077,1148570,6,1,Info National,2,[],[]
user-000077,1148797,7,3,Québec,18,[65],[9]
user-000077,1149740,8,21,Nouveau-Brunswick,8,[215],"[19, 23, 24, 25]"
user-000077,1149935,9,21,Nouveau-Brunswick,6,"[41, 376]",[24]
user-000077,1149944,10,1,Info National,2,"[173, 462]",[]
user-000078,1149553,0,1,Info National,2,"[71, 151]",[]
user-000079,1149892,0,1,Info National,18,[347],[16]
user-000079,1130609,1,1,Info National,15,[65],[]
user-000080,1123783,0,31,Arts,11,[19],[]
user-000098,1149892,1,1,Info National,13,"[56, 102, 401, 463]",[]
user-000099,1149757,0,1,Info National,13,[102],[]
user-000099,1148262,1,9,Ottawa–Gatineau,17,[203],[12]
user-000100,1149671,0,9,Ottawa–Gatineau,8,"[183, 375]",[12]
user-000100,1149892,1,1,Info National,2,"[173, 204]",[]
user-000100,1149941,2,11,Colombie-Britannique–Yukon,18,[96],[14]
user-000101,1149671,0,1,Info National,13,"[102, 209]",[]
user-000101,1149927,1,1,Info National,18,[347],[16]
user-000101,1149892,2,31,Arts,11,[110],[]
user-000102,1111368,0,1,Info National,2,"[148, 202]",[]
user-000114,636348,0,1,Info National,2,"[148, 162]",[]
user-000114,1149671,1,1,Info National,13,[102],[]
user-000115,1147556,0,1,Info National,5,[84],[8]
user-000115,1147556,1,3,Québec,18,[65],[9]
user-000115,1149228,2,1,Info National,2,"[71, 151]",[]
user-000115,1149008,3,1,Info National,5,[84],[8]
user-000115,1148674,4,1,Info National,15,[65],[]
user-000115,1147234,5,1,Info National,2,"[16, 148]",[]
user-000115,1145876,6,6,Mauricie–Centre-du-Québec,8,[94],[7]
user-000115,1148296,7,1,Info National,2,"[148, 259, 274]",[]
user-000133,1149704,0,2,Grand Montréal,18,[204],[8]
user-000134,1149671,0,21,Nouveau-Brunswick,13,[102],"[4, 19, 23, 24, 25]"
user-000134,1149647,1,1,Info National,13,"[56, 102, 401, 463]",[]
user-000135,1149675,0,1,Info National,13,[102],[]
user-000135,1149614,1,1,Info National,5,[84],[8]
user-000136,1149671,0,1,Info National,2,[],[]
user-000136,1149653,1,24,Toronto,18,[363],"[26, 27, 28]"
user-000136,1149740,2,1,Info National,2,"[173, 204]",[]
user-000137,1149660,0,1,Info National,2,"[71, 151]",[]
user-000137,1149675,1,1,Info National,5,[84],[8]
user-000147,1148570,0,1,Info National,13,[102],[]
user-000147,1137034,1,1,Info National,5,[84],[8]
user-000148,1149927,0,1,Info National,2,"[173, 204]",[]
user-000148,1149955,1,3,Québec,18,[65],[9]
user-000148,1149967,2,1,Info National,13,"[102, 209]",[]
user-000149,1149623,0,1,Info National,2,"[71, 151]",[]
user-000149,1149553,1,1,Info National,5,[84],[8]
user-000150,1149671,0,1,Info National,18,[347],[16]
user-000150,1148309,1,1,Info National,15,[65],[]
user-000150,1149892,2,1,Info National,2,"[148, 202]",[]
user-000162,1149678,1,1,Info National,13,[102],[]
user-000162,1149671,2,3,Québec,18,[65],[9]
user-000162,1149653,3,1,Info National,2,"[71, 151]",[]
user-000162,1149675,4,1,Info National,5,[84],[8]
user-000162,1149592,5,30,Sports,6,[41],[]
user-000162,1149661,6,1,Info National,2,"[148, 202]",[]
user-000162,1148570,7,60,Thématique,9,[300],[]
user-000162,1148797,8,1,Info National,2,[],[]
user-000162,1149608,9,30,Sports,6,[41],[]
user-000162,1149659,10,2,Grand Montréal,15,[75],[8]
user-000177,1149757,3,1,Info National,13,"[56, 102, 401, 463]",[]
user-000178,1149688,0,1,Info National,13,[102],[]
user-000178,1149614,1,1,Info National,5,[84],[8]
user-000179,1149614,0,1,Info National,2,[],[]
user-000179,1149892,1,3,Québec,17,[355],[9]
user-000180,1149675,0,1,Info National,2,"[173, 204]",[]
user-000180,1149917,1,3,Québec,18,[65],[9]
user-000181,1148570,0,1,Info National,2,"[71, 151]",[]
user-000181,1149660,1,1,Info National,5,[84],[8]
user-000182,1149664,0,1,Info National,2,"[16, 148]",[]
user-000201,1148570,0,1,Info National,13,"[56, 102, 401, 463]",[]
user-000202,1149765,0,1,Info National,13,[102],[]
user-000203,1149739,0,1,Info National,2,[],[]
user-000203,1149892,1,3,Québec,18,[65],[9]
user-000203,1149663,2,1,Info National,2,"[173, 462]",[]
user-000204,1149614,0,1,Info National,2,"[71, 151]",[]
user-000204,1149927,1,1,Info National,5,[84],[8]
user-000205,1149458,0,24,Toronto,18,[204],"[26, 27, 28]"
user-000205,1149880,1,1,Info National,2,[151],[]
user-000206,1149784,0,1,Info National,18,[347],[16]
user-000222,1149599,0,1,Info National,13,[102],[]
user-000223,1149671,0,1,Info National,5,[84],[8]
user-000223,1149740,1,1,Info National,2,[],[]
user-000224,1149653,0,9,Ottawa–Gatineau,13,[203],[12]
user-000224,1148570,1,1,Info National,18,"[75, 215]",[8]
user-000224,1149656,2,1,Info National,2,"[71, 151]",[]
user-000224,1149051,3,1,Info National,5,[84],[8]
user-000224,1149962,4,24,Toronto,18,[204],"[26, 27, 28]"
user-000224,1149679,5,1,Info National,18,[347],[16]
user-000225,1149238,0,1,Info National,13,"[101, 266]",[]
user-000239,1109760,1,21,Nouveau-Brunswick,13,[102],"[4, 19, 23, 24, 25]"
user-000240,1149458,0,1,Info National,13,"[56, 102, 401, 463]",[]
user-000240,1149880,1,1,Info National,13,[102],[]
user-000241,1149672,0,1,Info National,5,[84],[8]
user-000241,1149671,1,7,Saguenay–Lac-St-Jean,15,[65],[10]
user-000241,1149599,2,1,Info National,18,"[75, 215]",[8]
user-000242,1149671,0,1,Info National,2,"[71, 151]",[]
user-000242,1148570,1,1,Info National,5,[84],[8]
user-000243,1149953,0,6,Mauricie–Centre-du-Québec,8,[94],[7]
user-000243,1149879,1,18,Côte-Nord,13,"[102, 240]","[20, 21, 22]"
user-000263,1149892,2,1,Info National,2,"[148, 162]",[]
user-000263,1149955,3,1,Info National,13,"[71, 102]",[]
user-000263,1149996,4,1,Info National,13,"[56, 102, 401, 463]",[]
user-000264,1149763,0,1,Info National,13,[102],[]
user-000265,1100401,0,1,Info National,5,[84],[8]
user-000265,1149740,1,1,Info National,2,[],[]
user-000266,1148570,0,21,Nouveau-Brunswick,18,[27],[24]
user-000266,1149945,1,3,Québec,18,[65],[9]
user-000267,1149763,0,1,Info National,2,"[71, 151]",[]
user-000267,1149102,1,1,Info National,5,[84],[8]
user-000281,1149672,3,1,Info National,5,[102],[]
user-000281,1149599,4,1,Info National,13,"[56, 102, 401, 463]",[]
user-000281,1149759,5,1,Info National,13,[102],[]
user-000281,1149892,6,1,Info National,2,"[173, 204]",[]
user-000281,1149967,7,3,Québec,18,[65],[9]
user-000281,1149943,8,1,Info National,2,"[1, 148, 151, 211]",[]
user-000281,1149973,9,1,Info National,5,[84],[8]
user-000281,1149885,10,1,Info National,15,[65],[]
user-000282,1149759,0,1,Info National,2,"[148, 202]",[]
user-000283,1149553,0,1,Info National,13,"[101, 266]",[]
user-000299,1149675,1,1,Info National,2,"[148, 162]",[]
user-000299,1149614,2,1,Info National,13,"[56, 102, 401, 463]",[]
user-000299,1149892,3,1,Info National,13,[102],[]
user-000299,1149955,4,1,Info National,5,[84],[8]
user-000299,1149960,5,9,Ottawa–Gatineau,17,[203],[12]
user-000299,1149892,6,9,Ottawa–Gatineau,8,"[183, 375]",[12]
user-000299,1149955,7,5,Estrie,18,[65],[4]
user-000299,1144691,8,1,Info National,13,"[102, 209]",[]
user-000300,1149656,0,1,Info National,2,"[173, 462]",[]
user-000300,1149892,1,1,Info National,2,"[71, 151]",[]
user-000314,1149955,1,1,Info National,13,"[56, 102, 401, 463]",[]
user-000315,1149538,0,1,Info National,13,[102],[]
user-000315,1149538,1,1,Info National,5,[84],[8]
user-000316,1149458,0,1,Info National,5,[84],[8]
user-000316,1148061,1,1,Info National,15,[65],[]
user-000316,1149677,2,18,Côte-Nord,13,"[102, 240]","[20, 21, 22]"
user-000316,1149489,3,1,Info National,5,"[1, 148]",[]
user-000316,1149741,4,1,Info National,5,[244],[]
user-000316,1148726,5,2,Grand Montréal,17,[178],[8]
user-000316,1148887,6,4,Abitibi–Témiscamingue,13,"[102, 240]",[1]
user-000326,1148570,1,1,Info National,13,"[71, 102]",[]
user-000327,1149664,0,1,Info National,13,"[56, 102, 401, 463]",[]
user-000327,1149791,1,1,Info National,13,[102],[]
user-000327,1149512,2,1,Info National,5,[84],[8]
user-000327,1149030,3,3,Québec,6,[270],[9]
user-000327,1149927,4,10,Alberta,6,[41],[13]
user-000327,1149892,5,5,Estrie,18,[65],[4]
user-000328,1149570,0,3,Québec,18,[65],[9]
user-000328,1149765,1,1,Info National,18,[347],[16]
user-000329,1149286,0,1,Info National,2,"[148, 202]",[]
user-000347,1149927,1,12,Manitoba,18,[65],[15]
user-000348,1149671,0,3,Québec,8,[54],[9]
user-000348,1149784,1,1,Info National,13,"[56, 102, 401, 463]",[]
user-000349,1149442,0,1,Info National,13,[102],[]
user-000349,1149442,1,1,Info National,5,[84],[8]
user-000350,1148499,0,1,Info National,2,[],[]
user-000350,1148619,1,3,Québec,17,[355],[9]
user-000351,1149892,0,3,Québec,18,[65],[9]
user-000351,1149917,1,54,Espaces autochtones,17,[96],[]
user-000352,1149635,0,1,Info National,5,[84],[8]
user-000368,1148570,1,1,Info National,13,[102],[]
user-000368,1149935,2,1,Info National,5,[84],[8]
